time,adc_value
1623,514
1626,514
1634,513
1638,513
1642,512
1650,512
1655,512
1659,512
1663,513
1671,511
1675,511
1679,513
1687,511
1692,498
1696,486
1700,473
1708,466
1712,472
1716,520
1724,580
1728,615
1733,644
1737,649
1745,620
1749,584
1753,554
1757,538
1765,519
1769,500
1774,491
1782,490
1786,486
1790,484
1794,486
1802,489
1807,486
1810,486
1818,490
1823,491
1827,489
1831,491
1839,493
1843,492
1847,489
1855,492
1860,494
1864,492
1868,491
1876,494
1880,495
1884,492
1892,492
1896,495
1900,496
1905,494
1913,495
1917,497
1921,498
1929,497
1933,500
1937,503
1941,503
1950,505
1954,506
1958,507
1966,508
1970,506
1974,505
1978,507
1986,506
1991,505
1995,506
2003,508
2007,508
2011,506
2015,509
2024,508
2027,507
2031,508
2040,513
2044,512
2048,508
2052,509
2060,512
2064,510
2068,507
2077,510
2081,512
2085,508
2089,509
2097,510
2101,509
2105,509
2113,509
2117,510
2122,509
2126,506
2134,508
2138,508
2142,509
2150,508
2154,508
2158,509
2163,510
2171,508
2175,508
2179,512
2187,510
2191,507
2195,509
2199,511
2208,509
2212,508
2216,512
2224,513
2228,509
2232,508
2236,512
2245,509
2249,506
2253,509
2261,511
2265,508
2269,506
2274,506
2281,510
2285,508
2289,507
2298,507
2302,508
2306,508
2310,508
2318,508
2322,510
2326,511
2334,510
2339,513
2343,513
2347,512
2355,511
2359,513
2363,512
2371,510
2376,511
2380,514
2384,510
2392,507
2396,511
2400,512
2408,509
2412,509
2416,511
2421,511
2429,507
2433,508
2437,510
2446,508
2449,506
2453,502
2457,491
2466,476
2470,467
2474,463
2482,484
2486,546
2491,587
2494,626
2502,647
2507,631
2511,598
2519,568
2523,546
2527,524
2531,505
2539,496
2543,488
2547,484
2556,484
2560,485
2564,486
2568,483
2576,485
2580,488
2584,485
2593,485
2597,488
2601,488
2605,485
2613,488
2617,489
2621,489
2629,489
2634,490
2638,492
2642,490
2650,489
2654,489
2658,491
2666,491
2670,490
2675,493
2679,494
2687,494
2691,493
2695,497
2703,500
2708,500
2711,501
2715,503
2724,506
2728,503
2732,502
2740,505
2744,503
2748,500
2752,502
2761,507
2765,503
2769,504
2777,506
2781,508
2785,505
2789,507
2797,509
2801,510
2805,508
2814,509
2818,509
2822,509
2826,507
2834,510
2838,510
2842,511
2850,509
2855,507
2859,509
2863,510
2871,508
2875,509
2879,512
2887,509
2892,508
2896,510
2900,511
2908,508
2912,508
2916,512
2924,512
2928,508
2933,509
2937,513
2945,511
2949,509
2953,512
2961,513
2965,511
2969,510
2973,514
2981,512
2986,512
2990,511
2998,512
3002,512
3006,509
3010,511
3018,511
3022,511
3026,511
3035,509
3039,511
3043,511
3047,509
3055,509
3059,512
3063,509
3071,506
3076,508
3080,510
3084,508
3092,504
3096,508
3100,508
3108,507
3112,510
3117,513
3121,513
3129,512
3133,513
3137,514
3145,514
3149,511
3153,513
3157,513
3165,512
3170,512
3174,512
3182,512
3186,511
3190,511
3194,511
3202,511
3206,509
3210,509
3219,509
3223,510
3227,507
3231,507
3239,503
3243,488
3247,473
3255,467
3260,469
3264,494
3268,556
3276,596
3280,635
3284,644
3292,624
3296,594
3301,563
3305,539
3313,523
3317,507
3321,493
3329,488
3333,487
3337,488
3341,486
3350,486
3354,488
3358,489
3366,489
3370,488
3374,489
3378,491
3387,490
3391,489
3395,492
3403,493
3407,491
3411,490
3415,492
3423,493
3427,491
3432,493
3440,494
3444,494
3448,491
3452,491
3460,496
3464,493
3468,495
3476,500
3481,498
3485,498
3489,499
3497,504
3501,504
3505,503
3513,504
3518,504
3522,502
3526,502
3534,504
3538,504
3542,503
3550,502
3555,503
3559,505
3563,505
3571,505
3575,507
3579,509
3587,506
3591,503
3595,507
3599,508
3608,507
3612,508
3616,510
3624,509
3628,506
3632,507
3636,510
3645,507
3649,508
3653,510
3661,511
3665,508
3669,508
3673,510
3681,510
3685,509
3689,509
3698,510
3702,510
3706,510
3710,510
3718,512
3722,512
3726,510
3735,510
3739,512
3743,512
3747,509
3755,509
3759,512
3763,509
3772,506
3776,510
3780,512
3784,509
3792,507
3796,512
3800,509
3808,507
3813,507
3817,510
3821,508
3829,506
3833,507
3837,508
3845,507
3849,506
3854,506
3858,507
3866,505
3870,504
3874,506
3882,508
3886,508
3890,509
3894,511
3903,511
3907,510
3911,509
3919,512
3923,512
3927,509
3931,508
3940,511
3944,509
3948,507
3956,509
3960,511
3964,508
3968,506
3977,508
3981,508
3985,506
3993,505
3997,507
4001,506
4005,504
4013,506
4017,498
4021,483
4029,468
4034,467
4038,473
4042,511
4050,570
4054,603
4058,631
4066,634
4070,608
4075,578
4079,552
4087,534
4091,516
4095,502
4103,491
4107,484
4111,484
4115,487
4124,484
4128,480
4132,483
4140,486
4144,483
4148,482
4152,486
4161,488
4165,486
4169,487
4177,488
4181,487
4185,485
4189,486
4197,489
4201,491
4206,490
4214,490
4218,489
4222,489
4226,490
4234,492
4238,494
4242,494
4250,495
4255,497
4259,500
4263,500
4271,498
4275,502
4279,504
4287,503
4292,502
4296,503
4300,502
4308,498
4312,499
4316,501
4324,501
4328,499
4333,502
4337,505
4345,501
4349,502
4353,506
4361,505
4365,502
4369,502
4374,503
4382,502
4386,503
4390,503
4398,505
4402,503
4406,503
4410,502
4419,504
4423,505
4427,502
4435,502
4439,505
4443,504
4447,502
4456,505
4460,507
4464,505
4468,504
4476,507
4481,508
4485,505
4493,504
4497,508
4502,506
4505,505
4513,507
4517,509
4522,507
4530,504
4534,507
4538,508
4542,506
4550,506
4554,507
4558,507
4567,507
4571,507
4575,508
4579,509
4587,506
4591,507
4595,508
4603,508
4608,504
4612,504
4616,507
4624,508
4628,503
4632,504
4640,508
4644,509
4649,508
4653,512
4661,512
4665,508
4669,507
4677,511
4681,509
4685,507
4689,509
4698,509
4702,508
4706,506
4714,507
4718,511
4722,508
4726,507
4734,508
4739,508
4743,506
4751,506
4755,506
4759,507
4763,506
4771,493
4775,481
4779,467
4788,462
4792,473
4796,527
4800,584
4808,614
4812,637
4816,634
4825,604
4829,570
4833,548
4837,532
4845,515
4849,500
4853,493
4861,488
4865,483
4869,484
4874,486
4882,486
4887,484
4890,486
4898,486
4902,487
4906,488
4910,486
4919,489
4923,490
4927,489
4935,488
4939,489
4943,488
4947,487
4956,489
4960,492
4964,490
4972,490
4976,492
4980,493
4984,491
4993,491
4996,495
5001,497
5009,495
5013,498
5017,503
5021,502
5029,502
5033,506
5037,508
5046,503
5050,504
5054,506
5058,505
5066,501
5071,503
5074,503
5082,503
5087,504
5091,504
5095,506
5103,506
5107,507
5111,508
5119,509
5123,508
5128,506
5132,507
5140,510
5144,509
5148,507
5156,509
5160,512
5164,508
5169,508
5177,511
5181,511
5185,507
5193,508
5197,511
5201,509
5205,508
5214,510
5218,513
5222,510
5230,511
5234,513
5238,513
5242,510
5251,510
5254,512
5259,513
5267,512
5271,512
5275,512
5279,513
5287,512
5291,510
5295,511
5304,512
5308,511
5312,511
5316,514
5324,513
5328,510
5332,513
5340,515
5345,510
5349,508
5353,511
5361,512
5365,509
5369,508
5377,512
5381,511
5386,512
5390,515
5398,515
5402,513
5406,512
5414,514
5418,513
5423,512
5426,510
5435,512
5439,513
5443,511
5451,510
5455,511
5459,511
5464,512
5472,510
5476,511
5480,512
5488,509
5492,509
5496,514
5500,512
5509,506
5512,495
5517,484
5525,469
5529,461
5533,475
5537,529
5545,582
5549,622
5554,651
5562,645
5566,614
5570,581
5574,555
5582,534
5586,514
5590,500
5599,492
5603,488
5607,485
5611,485
5619,487
5623,487
5627,488
5636,488
5640,490
5644,489
5648,488
5656,491
5660,493
5664,490
5672,489
5676,493
5680,493
5685,490
5693,491
5697,494
5701,492
5709,489
5713,494
5717,495
5721,494
5730,494
5734,498
5738,499
5746,498
5750,500
5754,504
5758,504
5766,505
5771,507
5775,510
5783,508
5787,509
5791,508
5795,509
5803,508
5807,507
5811,508
5820,511
5824,509
5828,506
5832,510
5840,512
5845,509
5848,507
5856,511
5861,512
5865,509
5869,509
5877,512
5881,511
5885,508
5893,511
5898,511
5901,510
5906,509
5914,511
5918,513
5922,510
5930,511
5934,512
5938,513
5943,511
5951,512
5955,511
5959,511
5967,510
5971,510
5975,513
5979,512
5987,511
5992,510
5996,512
6004,512
6008,509
6012,510
6016,513
6024,510
6029,509
6033,511
6041,512
6045,509
6049,509
6053,512
6061,512
6065,509
6070,511
6078,513
6082,513
6086,510
6090,512
6098,513
6103,510
6106,508
6114,508
6119,510
6123,509
6127,508
6135,510
6139,514
6143,513
6151,513
6156,515
6160,515
6164,513
6172,511
6176,511
6180,512
6188,509
6192,512
6196,515
6201,511
6209,510
6213,511
6217,514
6225,510
6229,511
6233,512
6237,512
6245,509
6250,510
6254,512
6262,511
6266,502
6270,489
